,Unnamed: 0,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
7,41,0795597b-ab78-4837-8bab-46e8e2de4b04,7644ed70-1947-4cb1-82f8-5a54d5867b29,tianyi,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"The Result is incorrect. Based on the MARKET and FILM_MARKET_ESTIMATION tables, the Result should be '1978 1945' instead of '1945 1978 2000 1994'.; The reason is that the Hypothetical query is missing condition 'ORDER BY T1.Year DESC'.",Miss sorting.,231.1190002,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
6,2,8f8b86db-8ace-4668-8794-357389deecea,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"Miss the ""descending order"" clause.",Miss sorting.,90.1559999,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
9,3,fe310d80-15e4-44ca-9b5a-89ccef2719e1,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,,"The second returned column is supposed to be ""name_last"" rather than ""name_first"".",Return incorrect column,192.0519998,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
10,43,d23ee2fb-529d-4641-967f-db9c1289ca9f,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first","The Hypothetical query is referring to an incorrect column of the table. The columns should be 'name_first , name_last', instead of 'player.name_first , player.name_first'.",Refer to redundant column; miss column,345.233,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
11,68,eb73e651-e21c-41a0-a662-dc8eba3a2e0e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first","1, key word value error: ""last name"" to ""first name""",Value error,170.25,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
3,3,4b4fe7a5-f641-4ae8-9527-0728fbfcaed0,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first",The result returns the first name twice instead of return the first and last name,Refer to redundant column; miss column; return error ,75.20099998,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
4,4,6e5fc824-3699-4661-8e75-4cecf6c026ce,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',there's no sex column in the sportsinfo table -- the query needs to use intersect or join to query the sex column in the student table,Refer to incorrect table; miss joining tables,95.15100002,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
12,4,5d1b7600-a5ef-43a0-9eb5-6f708a59deb4,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,,"It does not include table ""Student"" although it uses information from that table.",Refer to incorrect table,129.053,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
13,49,ac051fc5-9af8-4107-88a3-c96ed02d4490,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,"sportsinfo, WHERE student.sex = 'f' AND sportsinfo.sportname = 'football'","The Hypothetical query is referring to an incorrect table. The 'stuid' should be selected from table 'student' instead of 'sportsinfo'.; The column values in the Hypothetical query are not identical with the original ones in table. The values 'f' and 'football' should be upper cases instead of lower cases, otherwise, the system cannot find the corresponding results. ",Refer to incorrect table; value error; Misunderstand the NLQ.,962.612,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
14,69,45108a22-9004-4f3b-9383-cc0fa8fe919d,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,sportsinfo.stuid,"1, index to wrong table;",Refer to incorrect table,513.322,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
15,5,dd64ffd8-98da-413b-a7fd-1eaa95913933,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,,"The column name used in the ""where"" condition should be ""engineer"" rather than ""engineers"".",value error,70.99500012,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
5,5,8c534351-67e1-453d-aff7-37e9f1c404f8,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',"value error: should query for the job value ""engineer"" instead",Value error ,42.40799999,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
17,70,d0f14a0f-3982-402b-813c-f3a688dc65e7,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',"1, value error: didn't distinguish same word, different tense",value error,265.026,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
16,53,88c1e809-282f-4838-bf49-63503dbc2d1c,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',Incorrect column value in Hypothetical query. The correct one should be 'engineer' instead of 'engineers'. ,value error; mistake,5.898999929,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
20,72,1beef434-897a-4bc1-8cba-8f1f50e5fa28,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,,"1, misunderstand the sentence meaning: should be parks more than 2, not city more than 2",misunderstand the NLQ,582.8529999,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
19,54,66e2356f-1d95-473e-8be4-eecbcd5bd451,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,park.city,The Hypothetical query is referring to an incorrect column. The correct column should be 'state' instead of 'city'.,Refer to incorrect column; misunderstand the NLQ ,347.2250001,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
18,6,f1c5c27c-f6d7-4486-adcf-c6baf22adcd4,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,,"The returned (and GROUP BY) attribute name should be ""state"" rather than ""city"".",Refer to incorrect column,197.2839999,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
21,7,e0d9d114-2237-4d8b-895e-49c0b1a4bec7,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1978,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',What are the countries that participated in both friendly and tournament type competitions?,,"Quoted identifiers are case-sensitive. In this case, 'friendly' should be 'Friendly', and 'tournament' should be 'Tournament'.",value error,329.23,8,1,SELECT country FROM competition WHERE competition_type  =  'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type  =  'Tournament'
6,6,ebe6ee74-1e96-47e5-a757-1df779a641a2,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1978,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',What are the countries that participated in both friendly and tournament type competitions?,WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',"the values ""friendly"" and ""tournament"" should be upper-case",Value error ,80.54699993,8,1,SELECT country FROM competition WHERE competition_type  =  'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type  =  'Tournament'
23,73,11408991-c39d-4c93-9f0b-5244a206409a,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1978,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',What are the countries that participated in both friendly and tournament type competitions?,,,,330.7720001,8,1,SELECT country FROM competition WHERE competition_type  =  'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type  =  'Tournament'
22,55,1297dcd2-16a6-4815-ad9d-83469d4e1bdf,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1978,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',What are the countries that participated in both friendly and tournament type competitions?,WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',"The column values in the Hypothetical query are not identical with the original ones in table. The values 'friendly' and 'tournament' should be upper cases instead of lower cases, otherwise, the system cannot find the corresponding results. ",value error; mistake ,247.806,8,1,SELECT country FROM competition WHERE competition_type  =  'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type  =  'Tournament'
7,7,b1183403-e0cc-4d27-bb19-54c8947cea2f,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2018,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),What are the song names for every song whose rating is less than the minimum rating for English songs?,,"the column value ""English"" should be in lower case",Value error ,30.0150001,9,1,SELECT song_name FROM song WHERE rating  <   (SELECT min(rating) FROM song WHERE languages  =  'english')
26,74,f23b18ea-27d9-41fa-bea2-c02b0f6b5578,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2018,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),What are the song names for every song whose rating is less than the minimum rating for English songs?,,,,120.0369999,9,1,SELECT song_name FROM song WHERE rating  <   (SELECT min(rating) FROM song WHERE languages  =  'english')
25,56,bbd4ce94-a48c-4d70-b4a1-0296a861f619,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,2018,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),What are the song names for every song whose rating is less than the minimum rating for English songs?,WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),"The column value in the Hypothetical query is not identical with the original one in the table. The value 'English' should be in lower case instead of upper case, otherwise, the system cannot find the corresponding results. ",Incorrect value; mistake,274.188,9,1,SELECT song_name FROM song WHERE rating  <   (SELECT min(rating) FROM song WHERE languages  =  'english')
24,8,f0c38bd5-bb22-47b3-bd83-8af1ed8cc3e1,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2018,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),What are the song names for every song whose rating is less than the minimum rating for English songs?,,The quoted identifier is case-sensitive. 'English should be 'english' instead.,value error,246.5810001,9,1,SELECT song_name FROM song WHERE rating  <   (SELECT min(rating) FROM song WHERE languages  =  'english')
8,8,fc6dc6c8-de94-462f-9f21-2a550a1713cc,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1331,"SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","What are the first names for all faculty professors, ordered by first name?",,"The rank value for the query should be ""Professor"" instead of ""professors""",value error,43.5,10,1,"SELECT Fname FROM FACULTY WHERE Rank  =  ""Professor"" ORDER BY Fname"
29,76,bae24592-2f23-4e83-9564-018da6d9bd71,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1331,"SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","What are the first names for all faculty professors, ordered by first name?","WHERE faculty.rank = 'professors,' ","1, value error: same word different tense",Value error,17.54200006,10,1,"SELECT Fname FROM FACULTY WHERE Rank  =  ""Professor"" ORDER BY Fname"
27,9,79c981d9-dc9e-4882-8b79-f21b80019990,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1331,"SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","What are the first names for all faculty professors, ordered by first name?",,"Value error: 'professors,' should be 'Professor'.",Value error,92.00399995,10,1,"SELECT Fname FROM FACULTY WHERE Rank  =  ""Professor"" ORDER BY Fname"
28,57,a859d5ee-d97b-4e12-a064-c39815998323,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1331,"SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","What are the first names for all faculty professors, ordered by first name?","WHERE faculty.rank = 'professors,' ","The column value in the Hypothetical query is not identical with the original one in the table. The value 'professors,' should be 'Professor', otherwise, the system cannot find the corresponding results. ",Value error; mistake,171.0839999,10,1,"SELECT Fname FROM FACULTY WHERE Rank  =  ""Professor"" ORDER BY Fname"
9,9,b05f178c-2772-4aee-978f-762c68acdf85,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1139,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason.",,"The value ""2009"" in ""2009 postseason"" should be grounded to the year column in the postseason table instead of the ""losses"" column",Refer to incorrect column,99.25800014,11,1,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;
30,10,e255f88f-cf39-4863-a505-3926b5ba2bb2,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1139,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason.",,"Attribute error: 'losses' should be replaced by ""year"".",Refer to incorrect column,70.27800012,11,1,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;
31,58,d97c1983-ee88-4375-8765-13247135001f,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1139,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason.",WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,The Hypothetical query is referring to an incorrect column. The correct column should be 'postseason.year = 2009' instead of 'postseason.losses = 2009'.,refer to incorrect column; misunderstand the NLQ ,419.142,11,1,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;
32,77,2edf1f36-b105-4284-8a21-e96237c4caf4,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1139,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason.",WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"1, column error in table 1",Refer to incorrect column ,107.9589999,11,1,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;
10,10,3ac1174a-9d39-45b2-8193-c39ee657aa70,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2179,SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,What is the name of the department htat has no students minoring in it?,,the result returns the departments with 1 student minoring in it instead of those that have *no* student minoring in it.,Misunderstand the NLQ; return error ,106.941,12,1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO  =  T2.DNO
35,79,90f0447f-609c-44ac-b7dc-50349766ca04,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2179,SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,What is the name of the department htat has no students minoring in it?,"HAVING, COUNT( * ) = 1","1, didn't understand the meaning of the query;
2, ignore the keyword: except;
3, understanding error: ""no students"" doesn't equal to ""COUNT(*) = 1""",misunderstand the NLQ; miss syntax.,454.0,12,1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO  =  T2.DNO
11,11,fbb68295-3347-47de-941e-64ad59c823bf,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2179,SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,What is the name of the department htat has no students minoring in it?,"COUNT( * ) = 1, HAVING, minor_in.dno",the result query returns the department names with 1 student minoring in it instead of the ones with no student,Misunderstand the NLQ; return error ,29.55000019,12,1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO  =  T2.DNO
33,11,90e980a3-4aae-44a9-84a0-379d75d66cc9,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2179,SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,What is the name of the department htat has no students minoring in it?,,"Misunderstanding the NLQ: what the hypothetical query expresses is ""the name of the departments that has exactly one student minoring in it"".",misunderstand the NLQ ,328.8140001,12,1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO  =  T2.DNO
34,59,802fd6b0-279c-4e6c-885e-638db66d4362,8654c831-e8af-4593-ae3a-c4b4076c9201,tianyi,2179,SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,What is the name of the department htat has no students minoring in it?,"HAVING, COUNT( * ) = 1, GROUP BY, minor_in.dno","Inappropriate and incorrect use of syntax in Hypothetical query. The 'GROUP BY XXX HAVING COUNT( * ) = XX' is not a good choice for finding the correct result.; The system might misunderstand the meaning of the original Natural language query, since 'HAVING COUNT( * ) = 1' cannot produce the correct result. It should be replaced by 'EXCEPT SELECT DEPARTMENT.DName'.",Inappropriate use of syntax; misunderstand the NLQ ,1161.456,12,1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO  =  T2.DNO
12,12,a9eab614-fe20-4163-b6df-bd6c9e87a985,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2153,SELECT projects.project_details FROM projects JOIN project_outcomes ON projects.project_id = project_outcomes.project_id,Which projects have no outcome? List the project details.,,"The result query did not understand the ""have no outcome"" part and lists all project details",Misunderstand the NLQ,48.96399999,13,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_outcomes )
